dane_code,department,dept_capital,notary_offices,telecom_offices,post_offices,health_centers,health_posts,schools,libraries,fire_stations,jails,public_instrument_offices,tax_offices,municipal_employees,primary_enrollment,secondary_enrollment,infant_mortality,aqueduct_coverage,sewage_coverage,electricity_coverage,vaccination_coverage,not_poor_1993,not_poor_2005,life_quality_index,tax_per_capita_2002,crown_employees_1794,crown_employees_nonmilitary_1794,colonial_state_index,colonial_city,royal_road_distance,literacy_1918,schooling_1918,vaccination_1918,longitude,latitude,area_sqkm,elevation_m,rainfall_mm,distance_coast_km,distance_magdalena_km,highway_distance_m,population_1995,pop_density_1995,urban_share_1995,malaria_incidence,oil_producer,land_agri_share,land_mountain_share,slaves_share_1843,encomienda_1560,gold_mine_1560,foundation_year,population_1843
47161,Magdalena,0,1,1,2,1,1,17,1,0,0,1,1,44,0.903327,0.385994,20,44.6952,0.269451,91.546,0.51455,30.3802,46.27,44,2876.31,0,0,2,0,6.24309,0.221807,0.0394314,0.0634625,-74.85,10.32,247,11,1100,68.9056,1.22841,33.259,23436,94.8826,0.496347,0,0,0.444444,0,0.0085752,0,0,1525,3032
47170,Magdalena,0,0,1,2,1,0,6,1,0,0,0,0,18,1.0198,0.364453,16.7467,11.8094,2.73695,58.1348,0.528562,24.3137,37.75,45,5151.98,0,0,1,0,15.0713,,,,-74.62,10.01,619,20,810,93.4466,16.3558,3900.39,17677,28.5573,0.581898,0,0,0.52,0,0,0,0,1974,2892.24
47189,Magdalena,0,1,1,1,0,2,35,1,0,1,1,0,200,1.25203,0.670902,30.9924,70.6397,39.9302,85.2229,0.540395,47.2767,62.22,57,11822.3,1,1,2,0,19.2001,0.431625,0.121013,0.565849,-74.25,10.98,619,3,300,30.7251,56.1374,1941.53,162158,261.968,0.695549,0.0440911,0,0.507246,0.376812,0.0154739,0,0,1538,4136
47245,Magdalena,0,1,1,1,0,2,25,1,1,1,1,1,69,1.32829,0.533143,17.1241,47.5497,28.6815,80.9753,0.560651,35.8026,46.35,56,5196.12,0,0,1,0,5.23379,0.268146,0.0649909,0.120995,-73.98,8.99,816,25,1398,177.895,3.71038,628.557,74257,91.0012,0.636743,0.0433798,0,0.606061,0,0.0092515,0,0,1747,1189
47258,Magdalena,0,1,1,2,1,0,4,1,0,1,0,1,25,1.166,0.40011,46.5967,29.8296,0.852273,55.8847,0.491676,34.3176,44.37,43,1635.02,1,1,1,0,8.26292,0.17572,0.0311475,0.0480094,-74.81,10.38,547,7,975,73.8356,1.98183,1513.96,20890,38.1901,0.280972,0,0,0.782609,0,0.010596,0,0,1760,1510
47288,Magdalena,0,1,1,1,0,2,29,1,0,0,1,1,83,1.47125,0.924255,56.6482,56.6444,39.8009,87.1268,0.522389,48.1736,62.19,57,12680.8,0,0,1,0,19.0607,,,,-74.2,10.5,1157,45,1290,70.9625,57.3974,434.318,69261,59.8626,0.862287,0.0531017,0,0.531915,0.468085,0.0495627,0,0,1902,343
47318,Magdalena,0,1,1,1,0,0,8,1,1,1,1,1,19,1.67282,0.747214,12.6992,34.6416,0.540387,56.7406,0.49807,33.4923,43.16,46,4802.63,1,1,1,0,5.1037,0.417621,0.0556146,0.106447,-74.22,9.14,565,25,1890,160.441,3.98935,264.721,29598,52.3858,0.283841,0,0,0.761905,0.047619,0,0,0,1747,1234
47541,Magdalena,0,1,1,1,1,0,3,1,0,0,0,0,51,2.02246,0.83238,18.8026,44.0911,0.284765,64.9264,0.5659,26.6567,39.42,44,3372.17,0,0,0,0,2.28464,0.304416,0.0262894,0.041312,-74.91,10.19,493,12,1285,81.8213,2.28975,1043.21,17336,35.1643,0.342182,0,0,0.4,0,0.0018282,0,0,1791,1641
47551,Magdalena,0,1,1,1,0,0,12,1,0,1,0,1,31,1.1558,0.474824,12.08,42.7217,5.26241,65.8933,0.406977,37.6,55.28,49,7620.52,0,0,0,0,9.57962,0.131601,0.050468,0.0168838,-74.62,10.45,2147,3,1440,60.9404,15.2388,3442.06,70238,32.7145,0.44141,0,0,,,0.0203488,0,0,1774,2064
47555,Magdalena,0,1,1,1,2,0,32,0,0,0,1,1,360,1.62034,0.615424,71.9009,55.6922,20.2586,69.7262,0.352028,29.2927,46.91,56,8754.03,0,0,1,0,16.0107,,,,-74.78,9.78,2658,20,910,117.631,4.58258,2267.07,78683,29.6023,0.725194,0,0,0.361111,0,0.0121795,0,0,1620,1560
47570,Magdalena,0,0,1,1,0,1,4,1,0,0,0,0,26,1.42794,0.505721,82.7586,58.7764,2.23629,84.4304,0.529695,28.7592,48.24,46,13278.2,1,1,1,0,22.3068,0.116995,0.0340841,0.0255133,-74.31,10.95,691,2,160,14.654,48.1262,3212.03,20753,30.0333,0.545745,0.665427,0,0.166667,0,0,0,0,1789,1141
47605,Magdalena,0,1,1,1,1,0,6,1,0,0,0,1,20,0.704034,0.230027,41.6667,39.5752,0.838457,41.867,0.481271,27.1427,45.48,43,755.137,1.5,1.5,2,0,1.06939,0.239228,0.0643354,0.0282448,-74.7,10.69,611,7,905,38.7818,5.34326,3662.41,15942,26.0917,0.447821,0,0,0.73913,0,0.047541,0,0,1776,1830
47675,Magdalena,0,1,1,2,1,0,5,1,0,0,0,1,13,1.06726,0.573303,26.6757,28.7751,0.324044,81.3999,0.455645,14.906,52.49,48,3944.17,0,0,0,0,6.35709,0.385647,0.0400268,0.0943649,-74.78,10.47,175,6,1000,52.6377,2.12731,1117.4,10263,58.6457,0.523448,0,0,1,0,0.0063052,0,0,1762,1586
47692,Magdalena,0,1,1,1,1,0,5,1,0,0,0,0,36,1.52031,0.636893,14.4776,25.2601,0.249688,33.0836,0.434174,21.3637,40.35,43,6449.1,0,0,0,0,2.58378,,,,-74.35,9.24,421,25,2075,152.224,4.46707,1714.99,21294,50.5796,0.254362,0.03266,0,0.529412,0,0.0012788,0,0,1748,782
47703,Magdalena,0,1,1,1,1,0,4,1,0,0,0,0,18,1.38493,0.413838,14.6768,17.4704,2.68775,39.7628,0.501184,15.6273,36.27,41,849.929,0,0,0,0,10.0119,0.177289,0.0493633,0.0497122,-74.5,9.24,238,25,1925,142.719,3.46953,1993.5,10313,43.3319,0.392102,0.0472903,0,0.666667,0,0,0,0,1751,492
47707,Magdalena,0,1,1,1,0,0,11,1,0,1,0,1,45,1.64281,0.634786,11.868,67.0072,7.10471,67.1233,0.503089,26.7529,43.51,47,4632.13,0,0,0,0,4.87936,0.342527,0.0667734,0.146037,-74.6501,9.46288,1482,6,1680,139.226,2.51913,1839.01,45027,30.3826,0.511139,0,0,0.47541,0,0,0,0,1751,1174
47798,Magdalena,0,1,1,1,1,0,3,0,0,0,0,1,32,1.24552,0.368077,27.6556,28.5912,1.59225,52.1288,0.56503,18.0022,39.84,43,22813.9,2,2,2,1,10.2758,0.157175,0.030135,0.0619576,-74.85,9.89,708,20,810,90.5689,0.570491,1883.34,24092,34.0282,0.338047,0,0,0.28,0,0.0069721,0,0,1543,2008
50001,Meta,1,3,9,9,3,4,57,6,2,6,2,3,676,1.17495,0.83569,13.1669,84.7615,85.175,92.0529,0.490819,74.6873,80.23,76,65645.1,0,0,0,0,79.2978,0.609375,0.0644003,0.407728,-73.67,4.13,1328,467,4550,394.165,123.29,135.179,283506,213.483,0.872459,0.670819,1,0.942308,0.192308,0,0,0,1842,167
50006,Meta,0,1,1,1,0,0,32,0,1,1,1,1,84,1.45991,0.939061,14.0779,85.3323,66.4606,84.204,0.511785,65.9397,71.36,62,61122.4,0,0,0,0,82.3512,,,,-73.79,3.96,1149,522,5180,350.269,117.444,1426.69,40742,35.4587,0.796806,2.78753,1,0.326087,0.456522,0,0,0,1960,2892.24
50110,Meta,0,,,,,,,,,,,,5,1.40715,0.66146,201.923,62.2129,28.3925,32.3591,0.961026,44.7021,53.79,46,66486.2,0,0,0,0,110.273,,,,-73,4.54,668,1290,1927,448.215,195.798,0,2660,3.98204,0.346072,1.82896,0,0.533333,0,0,0,0,1830,2892.24
50124,Meta,0,0,1,1,1,0,2,1,0,1,0,0,6,1.28035,0.500906,35.2273,40.3134,1.28205,44.1596,0.453785,43.1767,56,42,31925.7,0,0,0,0,144.837,,,,-72.82,4.26,832,235,2750,453.152,219.811,6787.34,3816,4.58654,0.248096,1.25062,0,0.705882,0,0,0,0,1840,63
50150,Meta,0,0,1,1,1,0,2,1,1,1,0,0,37,1.74893,0.753867,24.662,49.6296,42.2222,66.0494,0.776481,55.9667,68.58,48,94151.4,0,0,0,0,102.175,,,,-73.71,3.81,503,450,3720,384.589,129.234,579.662,4323,8.59443,0.300956,1.47987,1,0.578947,0,0,0,0,1950,2892.24
50223,Meta,0,0,1,1,1,0,2,1,0,1,0,1,26,1.6043,0.464337,42.9189,64.8492,50.8121,64.7332,0.324342,50.4524,62.83,50,32709.2,0,0,0,0,99.0312,,,,-73.88,3.76,1159,180,5269,327.434,111.791,14681.8,4876,4.20707,0.428176,4.46383,0,0.102041,0.77551,0,0,0,1962,2892.24
50226,Meta,0,0,1,1,0,0,5,1,1,1,0,0,24,1.18085,0.797886,32.3884,76.4747,64.6419,77.1419,0.80694,65.2615,68.73,57,47783.5,0,0,0,0,81.5342,,,,-73.51,4.24,580,480,4950,409.553,143.409,916.398,16049,27.6707,0.564585,1.76624,0,0.769231,0.115385,0,0,0,1902,2892.24
50245,Meta,0,0,1,1,1,1,3,0,0,0,0,1,10,1.11943,0.586266,64.5161,86.3216,28.4658,15.8965,0.402589,73.6192,69.81,46,71498.5,0,0,0,0,55.947,0.278008,0.0757261,0.0684647,-73.77,4.36,286,1766,2850,369.276,117.32,1564.07,3009,10.521,0.165959,0.325924,0,0,1,0,0,0,1900,2892.24
50251,Meta,0,0,1,1,1,0,3,1,0,1,0,0,10,1.02778,0.184785,24.2656,51.3527,27.2545,25.5511,0.369111,33.3789,58.65,44,7070.03,0,0,0,0,122.795,,,,-73.81,3.55,573,2050,2400,347.007,127.716,6506.7,3185,5.55846,0.200847,4.11351,0,0.826087,0.26087,0,0,0,1976,2892.24
50270,Meta,0,,,,,,,,,,,,11,1.50501,0.803088,17.8571,65.2174,35.2843,57.8595,0.653634,51.2368,58.02,46,10457.8,0,0,0,0,104.916,,,,-73.7787,3.64467,117,2050,2400,354.9,128.794,9718.56,10872,92.9231,0.285195,6.641,0,0,0,0,0,0,,2892.24
